ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,arrivals,arrivals_lower,arrivals_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rainfall,rainfall_lower,rainfall_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-26,1625.0222486091993,1535.3819833624934,1701.9877867729638,1574.160847690078,1672.0773183640022,-7.242086605545186,-7.242086605545186,-7.242086605545186,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.874719522093788,-4.874719522093788,-4.874719522093788,0.0,0.0,0.0,1617.7801620036541
2026-01-27,1625.0540565770011,1523.6200177365934,1697.1216177971714,1574.0595572757559,1672.234372280644,-6.705499225809019,-6.705499225809019,-6.705499225809019,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.338132142357622,-4.338132142357622,-4.338132142357622,0.0,0.0,0.0,1618.348557351192
2026-01-28,1625.0858645448031,1540.5191195629359,1705.9308066160045,1573.9676842985111,1672.3914261972866,-3.4695151185340016,-3.4695151185340016,-3.4695151185340016,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-1.1021480350826036,-1.1021480350826036,-1.1021480350826036,0.0,0.0,0.0,1621.6163494262692
2026-01-29,1625.117672512605,1555.3506247916168,1722.0707119878807,1573.8761189715074,1672.5484801139285,12.490625774067688,12.490625774067688,12.490625774067688,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,14.857992857519086,14.857992857519086,14.857992857519086,0.0,0.0,0.0,1637.6082982866726
2026-01-30,1625.1494804804067,1544.7727018538226,1719.3917888716505,1573.7848612947446,1672.7100539933763,8.041016736061195,8.041016736061195,8.041016736061195,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,10.408383819512594,10.408383819512594,10.408383819512594,0.0,0.0,0.0,1633.190497216468
2026-01-31,1625.1812884482085,1528.5883527390156,1711.7634416239125,1573.6936386990692,1672.8692732054176,-7.207949583029553,-7.207949583029553,-7.207949583029553,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.840582499578154,-4.840582499578154,-4.840582499578154,0.0,0.0,0.0,1617.973338865179
2026-02-01,1625.2130964160106,1523.5781659580298,1699.3723309206903,1573.6114377939823,1672.9758745917861,-12.478161561397007,-12.478161561397007,-12.478161561397007,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-10.110794477945609,-10.110794477945609,-10.110794477945609,0.0,0.0,0.0,1612.7349348546136
2026-02-02,1625.2449043838126,1525.3542171394338,1704.2132056950752,1573.569350070093,1673.1262498883434,-7.24208660554837,-7.24208660554837,-7.24208660554837,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.874719522096973,-4.874719522096973,-4.874719522096973,0.0,0.0,0.0,1618.0028177782642
2026-02-03,1625.2767123516144,1532.5076615382138,1704.1339082322363,1573.5665903141453,1673.3153899521371,-6.705499225814668,-6.705499225814668,-6.705499225814668,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.3381321423632695,-4.3381321423632695,-4.3381321423632695,0.0,0.0,0.0,1618.5712131257997
2026-02-04,1625.3085203194164,1525.7038733881127,1707.9343157335293,1573.563830558198,1673.4983026384893,-3.469515118525637,-3.469515118525637,-3.469515118525637,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-1.1021480350742394,-1.1021480350742394,-1.1021480350742394,0.0,0.0,0.0,1621.8390052008908
